200.160.109.0/25,BR,BR-SP,São José dos Campos,
201.75.164.0/23,BR,BR-SP,São José dos Campos,
179.223.52.0/22,BR,BR-SP,São José dos Campos,
179.223.96.0/23,BR,BR-SP,São José dos Campos,
177.183.22.0/23,BR,BR-SP,São José dos Campos,
177.143.156.0/23,BR,BR-SP,São José dos Campos,
187.106.144.60/30,BR,BR-SP,Jacareí,
201.62.113.128/25,BR,BR-SP,Jacareí,
187.2.102.0/24,BR,BR-SP,Jacareí,
187.106.138.0/23,BR,BR-SP,Jacareí,
179.223.66.0/23,BR,BR-SP,Jacareí,
179.223.68.0/22,BR,BR-SP,Jacareí,
187.2.122.0/23,BR,BR-SP,Jacareí,
187.2.120.0/23,BR,BR-SP,Jacareí,
177.143.144.0/22,BR,BR-SP,Jacareí,
177.143.136.0/23,BR,BR-SP,Jacareí,
187.122.253.16/30,BR,BR-PA,Belém,
187.122.249.0/24,BR,BR-PA,Belém,
187.122.248.0/24,BR,BR-PA,Belém,
177.194.136.0/22,BR,BR-PA,Belém,
177.65.136.0/21,BR,BR-PA,Belém,
177.65.132.0/22,BR,BR-PA,Belém,
177.194.128.0/22,BR,BR-PA,Belém,
187.123.103.24/30,BR,BR-BA,Vitória da Conquista,
187.123.96.0/24,BR,BR-BA,Vitória da Conquista,
187.123.97.128/25,BR,BR-BA,Vitória da Conquista,
187.123.100.0/24,BR,BR-BA,Vitória da Conquista,
187.123.108.0/24,BR,BR-BA,Vitória da Conquista,
187.123.102.0/24,BR,BR-BA,Vitória da Conquista,
187.123.111.0/24,BR,BR-BA,Vitória da Conquista,
187.123.110.0/24,BR,BR-BA,Vitória da Conquista,
181.217.82.0/23,BR,BR-BA,Vitória da Conquista,
187.123.101.0/24,BR,BR-BA,Vitória da Conquista,
181.217.80.0/23,BR,BR-BA,Vitória da Conquista,
187.123.104.0/23,BR,BR-BA,Vitória da Conquista,
187.123.106.0/23,BR,BR-BA,Vitória da Conquista,
187.123.109.0/24,BR,BR-BA,Vitória da Conquista,
187.123.57.20/30,BR,BR-PI,Teresina,
187.123.62.0/25,BR,BR-PI,Teresina,
187.64.220.0/24,BR,BR-PI,Teresina,
187.64.222.0/24,BR,BR-PI,Teresina,
191.184.51.0/24,BR,BR-PI,Teresina,
187.123.56.0/24,BR,BR-PI,Teresina,
179.154.160.0/23,BR,BR-PI,Teresina,
187.123.60.0/23,BR,BR-PI,Teresina,
179.211.232.0/22,BR,BR-PI,Teresina,
191.189.252.0/23,BR,BR-PI,Teresina,
191.178.20.0/23,BR,BR-PI,Teresina,
191.178.28.0/23,BR,BR-PI,Teresina,
177.193.20.0/22,BR,BR-PI,Teresina,
191.189.230.0/23,BR,BR-PI,Teresina,
191.189.228.0/23,BR,BR-PI,Teresina,
179.211.238.0/23,BR,BR-PI,Teresina,
179.211.236.0/23,BR,BR-PI,Teresina,
187.180.225.68/30,BR,BR-RJ,Teresópolis,
187.180.227.0/25,BR,BR-RJ,Teresópolis,
187.180.226.0/25,BR,BR-RJ,Teresópolis,
